"","protein","log2_fold_change","adjusted_p_value_-log10","significant"
"313","ATXN2L A2D A2LG A2LP A2RP",1.63243005875028,0.048393236554621,FALSE
"314","SRA1 PP7684",1.63148691559378,0.111669744537239,FALSE
"315","MIPEP MIP",1.63103886163331,0.133098825883308,FALSE
"316","TIGD7",1.62639297840532,0.0742899262727903,FALSE
"317","TTC14 KIAA1980 UNQ5813/PRO19630",1.62573950014079,0.0924127599499135,FALSE
"318","ADAMTS8 METH2",1.62414535760465,0.0627007894018089,FALSE
"319","WDR97 KIAA1875",1.62095582979122,0.288394397976335,FALSE
"320","NEK11",1.61715572561783,0.0694071354233168,FALSE
"321","C11orf96 AG2",1.61618128986977,0.0551467507736253,FALSE
"322","USP53 KIAA1350",1.60868208369575,0.135786524878231,FALSE
"323","POLM polmu",1.60728087635465,0.282320773673723,FALSE
"324","L1TD1 ECAT11",1.60657137053135,0.189326269714297,FALSE
"325","FAM43A PP7298",1.60595447586166,0.0460030570084782,FALSE
"326","ZGPAT GPATC6 GPATCH6 KIAA1847 ZC3H9 ZC3HDC9 ZIP",1.60432289014846,0.0844146779780364,FALSE
"327","C9orf57",1.60282773412159,0.0976715210282684,FALSE
"328","PNPLA1",1.6023546643156,0.0800193761812064,FALSE
"329","MYCLP1 MYCL1P1 MYCL2",1.59829665750479,0.0597984450315621,FALSE
"330","SPR",1.59768093193553,0.10237284914318,FALSE
"331","IFT80 KIAA1374 WDR56",1.5974539521618,0.258086045381243,FALSE
"332","STK10 LOK",1.58504326347679,0.0425695729880892,FALSE
"333","TCTEX1D1",1.57718461858443,0.0626900497244591,FALSE
"334","FASTKD1 KIAA1800",1.57361043867638,0.0732370456939084,FALSE
"335","NEK10",1.57307493191686,0.108830354691398,FALSE
"336","IPO5 KPNB3 RANBP5",1.5597515372925,0.0867909224669952,FALSE
"337","ZNF461 GIOT1",1.55970462327052,0.175492780838243,FALSE
